time,consumption_fish,consumption_per_cap,cps_landings_ca,cps_landings_coastwide,cps_landings_or,cps_landings_wa,cps_revenue_ca,cps_revenue_coastwide,cps_revenue_or,cps_revenue_wa,crab_landings_ca,crab_landings_coastwide,crab_landings_or,crab_landings_wa,crab_revenue_ca,crab_revenue_coastwide,crab_revenue_or,crab_revenue_wa,fertilizer_applications,finfish_production,groundfish_landings_ca,groundfish_landings_coastwide,groundfish_landings_or,groundfish_landings_wa,groundfish_revenue_ca,groundfish_revenue_coastwide,groundfish_revenue_or,groundfish_revenue_wa,habitat_modification,hms_landings_ca,hms_landings_coastwide,hms_landings_or,hms_landings_wa,hms_revenue_ca,hms_revenue_coastwide,hms_revenue_or,hms_revenue_wa,oil_gas_production,other_species_landings_ca,other_species_landings_coastwide,other_species_landings_or,other_species_landings_wa,other_species_revenue_ca,other_species_revenue_coastwide,other_species_revenue_or,other_species_revenue_wa,pacific_hake_landings_ca,pacific_hake_landings_coastwide,pacific_hake_landings_or,pacific_hake_landings_wa,pacific_hake_revenue_ca,pacific_hake_revenue_coastwide,pacific_hake_revenue_or,pacific_hake_revenue_wa,recreational_landings_ca,recreational_landings_coastwide,recreational_landings_or,recreational_landings_wa,salmon_com_landings_ca,salmon_com_landings_coastwide,salmon_com_landings_or,salmon_com_landings_wa,salmon_rec_landings_ca,salmon_rec_landings_coastwide,salmon_rec_landings_or,salmon_rec_landings_wa,salmon_revenue_ca,salmon_revenue_coastwide,salmon_revenue_or,salmon_revenue_wa,shellfish_production,shipping_distance_traveled,shrimp_landings_ca,shrimp_landings_coastwide,shrimp_landings_or,shrimp_landings_wa,shrimp_revenue_ca,shrimp_revenue_coastwide,shrimp_revenue_or,shrimp_revenue_wa,squid_landings_ca,squid_landings_coastwide,squid_landings_or,squid_revenue_ca,squid_revenue_coastwide,squid_revenue_or,total_fisheries_landings_ca,total_fisheries_landings_coastwide,total_fisheries_landings_or,total_fisheries_landings_wa,total_fisheries_revenue_ca,total_fisheries_revenue_coastwide,total_fisheries_revenue_or,total_fisheries_revenue_wa
UTC,Millions of metric tons,kg,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Normalized index,1000s mt,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Weighted 1000s km,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Normalized index,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,1000s fish,1000s fish,1000s fish,1000s fish,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),metric tons,Millions of km,1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),1000s metric tons,1000s metric tons,1000s metric tons,1000s metric tons,Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015),Millions $ (year 2015)
1945-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.8674945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1946-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7984143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1947-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.7190671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1948-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.639943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1949-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.6148859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.598818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1951-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5228152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1952-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.4576764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1953-01-01T00:00:00Z,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.4160874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
